Date,Price,Volume
2017-03-01,1222.50,229056992.00
2017-03-02,1251.01,368275008.00
2017-03-03,1274.99,315739008.00
2017-03-04,1255.15,183270000.00
2017-03-05,1267.12,134127000.00
2017-03-06,1272.83,153656992.00
2017-03-07,1223.54,291256000.00
2017-03-08,1150.00,332603008.00
2017-03-09,1188.49,212283008.00
2017-03-10,1116.72,563795968.00
2017-03-11,1175.83,283320000.00
2017-03-12,1221.38,227176000.00
2017-03-13,1231.92,380276992.00
2017-03-14,1240.00,245306000.00
2017-03-15,1249.61,297804992.00
2017-03-16,1187.81,638568000.00
2017-03-17,1100.23,706598976.00
2017-03-18,973.82,621302016.00
2017-03-19,1036.74,406648000.00
2017-03-20,1054.23,286529984.00
2017-03-21,1120.54,337391008.00
2017-03-22,1049.14,380840992.00
2017-03-23,1038.59,248540000.00
2017-03-24,937.52,491038016.00
2017-03-25,972.78,435803008.00
2017-03-26,966.72,303668000.00
2017-03-27,1045.77,372535008.00
2017-03-28,1047.15,326332000.00
2017-03-29,1039.97,298457984.00
2017-03-30,1026.43,352968992.00
2017-03-31,1071.79,447287008.00
2017-04-01,1080.50,289633984.00
2017-04-02,1102.17,514187008.00
2017-04-03,1143.81,580444032.00
2017-04-04,1133.25,436310016.00
2017-04-05,1124.78,414784000.00
2017-04-06,1182.68,511222016.00
2017-04-07,1176.90,317022016.00
2017-04-08,1175.95,209312000.00
2017-04-09,1187.87,242343008.00
2017-04-10,1187.13,215883008.00
2017-04-11,1205.01,216182000.00
2017-04-12,1200.37,288702016.00
2017-04-13,1169.28,351968992.00
2017-04-14,1167.54,254827008.00
2017-04-15,1172.52,203559008.00
2017-04-16,1182.94,183231008.00
2017-04-17,1193.91,253206000.00
2017-04-18,1211.67,270524000.00
2017-04-19,1210.29,288060992.00
2017-04-20,1229.08,315108000.00
2017-04-21,1222.05,272167008.00
2017-04-22,1231.71,249320000.00
2017-04-23,1207.21,258951008.00
2017-04-24,1250.15,235806000.00
2017-04-25,1265.49,242556000.00
2017-04-26,1281.08,329631008.00
2017-04-27,1317.73,449196992.00
2017-04-28,1316.48,527488992.00
2017-04-29,1321.79,422705984.00
2017-04-30,1347.89,413115008.00
2017-05-01,1421.60,713624000.00
2017-05-02,1452.82,477337984.00
2017-05-03,1490.09,583795968.00
2017-05-04,1537.67,933548992.00
2017-05-05,1555.45,946035968.00
2017-05-06,1578.80,582529984.00
2017-05-07,1596.71,1080029952.00
2017-05-08,1723.35,1340320000.00
2017-05-09,1755.36,1167920000.00
2017-05-10,1787.13,915723008.00
2017-05-11,1848.57,799489984.00
2017-05-12,1724.24,740984000.00
2017-05-13,1804.91,579635008.00
2017-05-14,1808.91,437196000.00
2017-05-15,1738.43,731529024.00
2017-05-16,1734.45,959044992.00
2017-05-17,1839.09,1064729984.00
2017-05-18,1888.65,894321024.00
2017-05-19,1987.71,1157289984.00
2017-05-20,2084.73,961336000.00
2017-05-21,2041.20,1147859968.00
2017-05-22,2173.40,1942220032.00
2017-05-23,2320.42,1378749952.00
2017-05-24,2443.64,1725379968.00
2017-05-25,2304.98,2406700032.00
